SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
ACC-ZED-012,"Sim Card Cutter Tool for iPhone 5",4,0.87,3.4730,3.2465,3.322,0,2.869,2.9445,0,0,0,0,2.7935,2.869,0,2.6425,2.718,0,2.49,2.59,0,2.3707,2.416,0,0
ACC-ZED-018,"Blackberry  Standard Mini USB Charger",2.5,0.47,1.6450,1.41,1.5275,0,1.081,1.128,0,0,0,0,0.94,1.034,0,0.9165,0.987,0,0.89,0.99,0,0.8695,0.9165,0,0
ACC-ZED-024,"Blackberry Standard Micro USB Charger",0,0,3.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC-ZED-036,"VGA and USB Cable for Samsung Galaxy Tab 1 Models",15,2.88,6.2550,7.55,7.85,0,5,5.14,0,0,0,0,4.45,4.73,0,4.31,4.59,0,4.19,4.39,0,4.09,4.17,0,1
ACC-ZED-042,"Universal Gold Plated Auxiliary AUX Audio Cable - 3 Feet Long",5,0.95,2.3750,3.95,4.95,0,1.9,2,0,0,0,0,1.85,1.95,0,1.81,1.9,0,1.79,1.89,0,1.66,1.81,0,1
ACC-ZED-048,"Earphones with Mic Volume Control for iPhone 2G 3G 3GS 4 4S",6,1.16,2.8560,5.95,6.75,0,2.36,2.38,0,0,0,0,2.2,2.26,0,2.08,2.2,0,1.99,2.09,0,1.84,1.96,0,1
ACC-ZED-090,"3 FOOT USB CABLE FOR IPOD, IPAD, AND IPHONE",3,0.69,1.8500,4.55,4.75,0,1.48,1.55,0,0,0,0,1.44,1.52,0,1.41,1.48,0,1.39,1.49,0,1.3,1.41,0,0
ACC-ZED-096,"Expandable Data Cable for iPod, iPad, and iPhone 2G 3G 3GS 4 4S",0,0,2.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC-ZED-102,"Wall Charger for iPod, iPad, iPhone 2G 3G 3GS 4 4S 5 5S 5C",5,0.73,4.9500,4.55,4.75,0,2.06,2.08,0,0,0,0,1.92,1.98,0,1.82,1.92,0,1.79,1.89,0,1.61,1.72,0,1
ACC-ZED-110,"Wall Charger &amp; 3 Foot USB Cable for iPod, iPad, and iPhone",8,1.46,2.9280,5.55,5.85,0,2.42,2.44,0,0,0,0,2.26,2.32,0,2.14,2.26,0,2.09,2.19,0,1.89,2.01,0,1
ACC-ZED-114,"Dock Charger Upright Stand for iPhone 2G 3G 3GS WHITE",7,1.38,3.3120,3.105,3.174,0,2.7324,2.76,0,0,0,0,2.553,2.622,0,2.415,2.553,0,2.29,2.49,0,2.139,2.277,0,0
ACC-ZED-120,"Vertical Dock Charger Upright Stand for iPhone 4 4S White",0,0,5.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC-ZED-126,"Dual USB Car Charge for iPod, iPad, iPhone 2G 3G 3GS 4 4S 5 5S 5C 6 6 Plus White",3,0.73,1.8500,1.591,1.665,0,1.48,1.554,0,0,0,0,1.443,1.517,0,1.406,1.48,0,1.39,1.49,0,1.295,1.406,0,0
ACC-ZED-132,"Dual USB Car Charge for iPod, iPad, iPhone 2G 3G 3GS 4 4S 5 5S 5C 6 6 Plus Black",3,0.73,2.1300,1.83,1.91,0,1.7,1.79,0,0,0,0,1.66,1.74,0,1.62,1.7,0,1.59,1.69,0,1.49,1.62,0,0
ACC-ZED-138,"8-Pin USB Charger Adapter Sync Data Cable for iPhone 5 5S 5C 6 6+ iPad 4 Mini 1 2 Air Pro",6,0.88,5.9500,5.55,5.75,0,2.91,2.98,0,0,0,0,2.83,2.91,0,2.68,2.75,0,2.59,2.69,0,2.4,2.45,0,1
ACC-ZED-144,"Lightning To 30 Pin Adapter",3,0.48,1.8500,5.55,5.75,0,1.48,1.55,0,0,0,0,1.44,1.52,0,1.41,1.48,0,1.39,1.49,0,1.3,1.41,0,1
ACC-ZED-150,"Wall Charger US Model for iPad 1 2 3 4 Mini 1 2 iPad Air 1 2",11,1.93,6.9500,5.95,6.75,0,3.55,3.75,0,0,0,0,3.55,3.75,0,3.55,3.75,0,3.55,3.75,0,3.55,3.75,0,1
ACC-ZED-534,"Wall Charger Global International Model for iPad 1 2 3 4",0,0,5.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC-ZED-162,"Dock Charger Upright Stand for iPad 1 2 White",10,1.94,4.4600,4.46,4.27,0,3.88,3.78,0,0,0,0,3.88,3.69,0,3.78,3.49,0,3.59,3.39,0,3.4,3.1,0,0
ACC-ZED-174,"External Battery Charger Power Pack 1800mAh Case for iPhone 3G 3GS Black",0,0,9.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
